#cups;fecha;hora;kwh
ES0022105511819019MK3F;01/07/2024;1;0.502
ES0031105511819012LM0G;01/07/2024;1;0.149
ES0031105511819013KF1L;01/07/2024;1;0.502
ES0031105511811032KD2N;01/07/2024;1;0.992
ES0022105511819019MK3F;01/07/2024;2;0.334
ES0031105511819012LM0G;01/07/2024;2;0.089
ES0031105511819013KF1L;01/07/2024;2;0.334
ES0031105511811032KD2N;01/07/2024;2;0.464
ES0022105511819019MK3F;01/07/2024;3;0.256
ES0031105511819012LM0G;01/07/2024;3;0.099
ES0031105511819013KF1L;01/07/2024;3;0.256
ES0031105511811032KD2N;01/07/2024;3;0.582
ES0022105511819019MK3F;01/07/2024;4;0.406
ES0031105511819012LM0G;01/07/2024;4;0.104
ES0031105511819013KF1L;01/07/2024;4;0.406
ES0031105511811032KD2N;01/07/2024;4;0.782
ES0022105511819019MK3F;01/07/2024;5;1.079
ES0031105511819012LM0G;01/07/2024;5;0.084
ES0031105511819013KF1L;01/07/2024;5;1.079
ES0031105511811032KD2N;01/07/2024;5;1.256
ES0022105511819019MK3F;01/07/2024;6;0.733
ES0031105511819012LM0G;01/07/2024;6;0.233
ES0031105511819013KF1L;01/07/2024;6;0.733
ES0031105511811032KD2N;01/07/2024;6;1.645
ES0022105511819019MK3F;01/07/2024;7;0.505
ES0031105511819012LM0G;01/07/2024;7;0.171
ES0031105511819013KF1L;01/07/2024;7;0.505
ES0031105511811032KD2N;01/07/2024;7;0.582
ES0022105511819019MK3F;01/07/2024;8;0.761
ES0031105511819012LM0G;01/07/2024;8;0.305
ES0031105511819013KF1L;01/07/2024;8;0.761
ES0031105511811032KD2N;01/07/2024;8;1.516
ES0022105511819019MK3F;01/07/2024;9;0.831
ES0031105511819012LM0G;01/07/2024;9;0.094
ES0031105511819013KF1L;01/07/2024;9;0.831
ES0031105511811032KD2N;01/07/2024;9;1.639
ES0022105511819019MK3F;01/07/2024;10;0.185
ES0031105511819012LM0G;01/07/2024;10;0.106
ES0031105511819013KF1L;01/07/2024;10;0.185
ES0031105511811032KD2N;01/07/2024;10;0.339
ES0022105511819019MK3F;01/07/2024;11;0.316
ES0031105511819012LM0G;01/07/2024;11;0.08
ES0031105511819013KF1L;01/07/2024;11;0.316
ES0031105511811032KD2N;01/07/2024;11;1.002
ES0022105511819019MK3F;01/07/2024;12;1.452
ES0031105511819012LM0G;01/07/2024;12;1.251
ES0031105511819013KF1L;01/07/2024;12;1.452
ES0031105511811032KD2N;01/07/2024;12;1.97
ES0022105511819019MK3F;01/07/2024;13;4.054
ES0031105511819012LM0G;01/07/2024;13;3.073
ES0031105511819013KF1L;01/07/2024;13;4.054
ES0031105511811032KD2N;01/07/2024;13;4.2
ES0022105511819019MK3F;01/07/2024;14;0.556
ES0031105511819012LM0G;01/07/2024;14;0.093
ES0031105511819013KF1L;01/07/2024;14;0.556
ES0031105511811032KD2N;01/07/2024;14;0.801
ES0022105511819019MK3F;01/07/2024;15;0.993
ES0031105511819012LM0G;01/07/2024;15;0.117
ES0031105511819013KF1L;01/07/2024;15;0.993
ES0031105511811032KD2N;01/07/2024;15;1.282
ES0022105511819019MK3F;01/07/2024;16;0.161
ES0031105511819012LM0G;01/07/2024;16;0.088
ES0031105511819013KF1L;01/07/2024;16;0.161
ES0031105511811032KD2N;01/07/2024;16;0.78
ES0022105511819019MK3F;01/07/2024;17;0.705
ES0031105511819012LM0G;01/07/2024;17;0.094
ES0031105511819013KF1L;01/07/2024;17;0.705
ES0031105511811032KD2N;01/07/2024;17;1.372
ES0022105511819019MK3F;01/07/2024;18;2.113
ES0031105511819012LM0G;01/07/2024;18;1.414
ES0031105511819013KF1L;01/07/2024;18;2.113
ES0031105511811032KD2N;01/07/2024;18;2.674
ES0022105511819019MK3F;01/07/2024;19;6.276
ES0031105511819012LM0G;01/07/2024;19;6.091
ES0031105511819013KF1L;01/07/2024;19;6.276
ES0031105511811032KD2N;01/07/2024;19;6.278
ES0022105511819019MK3F;01/07/2024;20;7.575
ES0031105511819012LM0G;01/07/2024;20;6.69
ES0031105511819013KF1L;01/07/2024;20;7.575
ES0031105511811032KD2N;01/07/2024;20;7.603
ES0022105511819019MK3F;01/07/2024;21;6.764
ES0031105511819012LM0G;01/07/2024;21;5.859
ES0031105511819013KF1L;01/07/2024;21;6.764
ES0031105511811032KD2N;01/07/2024;21;7.725
ES0022105511819019MK3F;01/07/2024;22;6.468
ES0031105511819012LM0G;01/07/2024;22;5.905
ES0031105511819013KF1L;01/07/2024;22;6.468
ES0031105511811032KD2N;01/07/2024;22;6.635
ES0022105511819019MK3F;01/07/2024;23;7.04
ES0031105511819012LM0G;01/07/2024;23;6.18
ES0031105511819013KF1L;01/07/2024;23;7.04
ES0031105511811032KD2N;01/07/2024;23;7.123
ES0022105511819019MK3F;01/07/2024;24;4.712
ES0031105511819012LM0G;01/07/2024;24;4.35
ES0031105511819013KF1L;01/07/2024;24;4.712
ES0031105511811032KD2N;01/07/2024;24;5.449
ES0022105511819019MK3F;02/07/2024;1;4.235
ES0031105511819012LM0G;02/07/2024;1;3.669
ES0031105511819013KF1L;02/07/2024;1;4.235
ES0031105511811032KD2N;02/07/2024;1;4.321
ES0022105511819019MK3F;02/07/2024;2;0.215
ES0031105511819012LM0G;02/07/2024;2;0.096
ES0031105511819013KF1L;02/07/2024;2;0.215
ES0031105511811032KD2N;02/07/2024;2;0.25
ES0022105511819019MK3F;02/07/2024;3;0.265
ES0031105511819012LM0G;02/07/2024;3;0.098
ES0031105511819013KF1L;02/07/2024;3;0.265
ES0031105511811032KD2N;02/07/2024;3;0.874
ES0022105511819019MK3F;02/07/2024;4;0.18
ES0031105511819012LM0G;02/07/2024;4;0.115
ES0031105511819013KF1L;02/07/2024;4;0.18
ES0031105511811032KD2N;02/07/2024;4;0.38
ES0022105511819019MK3F;02/07/2024;5;0.835
ES0031105511819012LM0G;02/07/2024;5;0.392
ES0031105511819013KF1L;02/07/2024;5;0.835
ES0031105511811032KD2N;02/07/2024;5;1.33
ES0022105511819019MK3F;02/07/2024;6;1.001
ES0031105511819012LM0G;02/07/2024;6;0.162
ES0031105511819013KF1L;02/07/2024;6;1.001
ES0031105511811032KD2N;02/07/2024;6;1.352
ES0022105511819019MK3F;02/07/2024;7;0.904
ES0031105511819012LM0G;02/07/2024;7;0.117
