CODIGO;DESCRIPCION;LATITUD;LONGITUD;DIRECCION;C.P.;POBLACION;PROVINCIA
40121;ALCOLEA DEL RIO;37,635451;-5,730791;CARRETERA A-436 - ESTACION FERROCARRIL, S/N;41359;Alcolea del Río;Sevilla
51111;BELLAVISTA;37,321549;-5,964313;AVENIDA DE JEREZ, S/N;41703;Sevilla;Sevilla
43005;BENACAZON;37,356962;-6,208073;CALLE CELADA, S/N;41805;Benacazón;Sevilla
50702;BRENES;37,546291;-5,866773;CAMINO EL CHATO, 9;41310;Brenes;Sevilla
43002;CAMAS;37,4177;-6,040853;CALLE FERNANDO SANCHEZ EMPER, 41;41900;Camas;Sevilla
51112;CANTAELGALLO;37,278454;-5,91074;CALLE PINO, 7;41702;Dos Hermanas;Sevilla
50701;CANTILLANA;37,57491;-5,803297;AVENIDA ESTACION FERROCARRIL, S/N;41320;Cantillana;Sevilla
51050;CARTUJA;37,407502;-6,010021;AVENIDA CARLOS III, S/N;41092;Sevilla;Sevilla
40113;CAZALLA-CONSTANTINA;37,932844;-5,704388;CARRETERA A-455 - ESTACION FERROCARRIL, S/N;41370;Cazalla de la Sierra;Sevilla
51103;DOS HERMANAS;37,287163;-5,923556;PLAZA DEL ARENAL, 1;41701;Dos Hermanas;Sevilla
50704;EL CAÑAMO;37,486352;-5,93312;CALLE EDMUND HALLEY, S/N;41300;Rinconada, La;Sevilla
51051;ESTADIO OLIMPICO;37,417316;-6,007502;CARRETERA SE-020 - RONDA SUPERNORTE;41970;Sevilla;Sevilla
50602;GUADAJOZ;37,581398;-5,669961;CARRETERA SE-9001 - ESTACION FERROCARRIL, S/N;41339;Carmona;Sevilla
51113;JARDINES DE HERCULES;37,332922;-5,96409;CRUCE DE CALLE ZEUS CON CALLE DIONISO;41014;Sevilla;Sevilla
50703;LA RINCONADA;37,480071;-5,940088;CALLE ESTACION FERROCARRIL, S/N;41300;Rinconada, La;Sevilla
51202;LAS CABEZAS DE SAN JUAN;37,0185186;-5,9454387;CARRETERA SE-9021 - ESTACION FERROCARRIL, S/N;41730;Cabezas de San Juan, Las;Sevilla
51203;LEBRIJA;36,9115952;-6,0949055;AVENIDA VICENTE ALEIXANDRE, S/N;41740;Lebrija;Sevilla
50600;LORA DEL RIO;37,661125;-5,530955;AVENIDA DE PORTUGAL, S/N;41440;Lora del Río;Sevilla
50700;LOS ROSALES;37,589878;-5,725169;CALLE SAN PEDRO, S/N;41330;Tocina;Sevilla
51010;PADRE PIO-PALMETE;37,370836;-5,939391;CALLE CASTILLEJA DE LA CUESTA, 108;41006;Sevilla;Sevilla
51009;PALACIO DE CONGRESOS;37,403741;-5,936357;AVENIDA ALTAMIRA, 29;41020;Sevilla;Sevilla
